platform,arch,benchmark,variant,size,threads,metric_name,compiler_config,time_mean_ms,time_std_ms,time_min_ms,time_max_ms,sample_count,metric_mean,metric_std,speedup,parallel_efficiency
macos,arm64,memory,random,67108864,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,36.51975,0.19280575888702348,36.314417,36.835709,5,459.41137562878004,2.415571510957267,,
macos,arm64,memory,random,268435456,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,196.5152002,0.8181919588872079,195.585959,197.8285,5,341.49924315434,1.4179793502597204,,
macos,arm64,memory,sequential,32768,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1287361666666667,0.18331131335454087,1.048,1.5025,6,3781.712042665033,486.1564025212368,,
macos,arm64,memory,sequential,65536,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9906414,0.0073592541945498675,0.98125,1.001125,5,4234.11433024112,31.414927951069952,,
macos,arm64,memory,sequential,262144,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.983625,0.020160436366805142,0.964125,1.016417,5,4265.539911783841,86.05099932709393,,
macos,arm64,memory,sequential,1048576,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9696334,0.004824203177727879,0.963125,0.975792,5,4325.745290701239,21.53580694050132,,
macos,arm64,memory,sequential,4194304,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.97525,0.012080533018041894,0.960125,0.991916,5,4301.2743256831,53.165529190452425,,
macos,arm64,memory,sequential,16777216,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.00235,0.0095120855231648,0.993375,1.016917,5,4184.7702431546,39.48390587619826,,
macos,arm64,memory,sequential,67108864,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,4.0013084,0.022198164593046833,3.984125,4.040042,5,4193.035062683999,23.11110576152793,,
macos,arm64,memory,sequential,268435456,1,million_accesses_per_s,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,15.980366799999999,0.05072089411869656,15.935167,16.058834,5,4199.49083025414,13.304238281524853,,
macos,arm64,quicksort,hoare,1000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.04025,,0.04025,0.04025,1,0.0,,,
macos,arm64,quicksort,hoare,100000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,3.9937166,0.051723718783552315,3.936208,4.052958,5,0.0,0.0,,
macos,arm64,quicksort,hoare,1000000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,46.1775916,0.1758267523694839,45.912875,46.391416,5,0.0,0.0,,
macos,arm64,quicksort,hoare,5000000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,245.960325,0.10885993680184364,245.830417,246.113333,5,0.0,0.0,,
macos,arm64,quicksort,hoare,10000000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,520.8613832,2.618629268044887,519.359958,525.514667,5,0.0,0.0,,
macos,arm64,sieve,eratosthenes,1000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.000834,,0.000834,0.000834,1,0.0,,,
macos,arm64,sieve,eratosthenes,1000000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1355748,0.06661417023952194,1.021583,1.175916,5,0.0,0.0,,
macos,arm64,sieve,eratosthenes,5000000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,5.466925,0.611658044041358,4.555708,6.106667,5,0.0,0.0,,
macos,arm64,sieve,eratosthenes,10000000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,9.217983,0.31677911293044597,8.865791,9.54925,5,0.0,0.0,,
macos,arm64,sieve,eratosthenes,50000000,1,none,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,120.0099252,1.7965071453811976,116.895459,121.460792,5,0.0,0.0,,
