timestamp,platform,arch,benchmark,variant,size,threads,run,time_ms,metric,metric_name,checksum
"2026-09-14T17:36:38.946","macos","arm64","quicksort","hoare",100000,1,6,4.287125,0.0000000000,"none",214723404248673
"2026-09-14T17:36:38.950","macos","arm64","quicksort","hoare",100000,1,7,3.949667,0.0000000000,"none",214723404248673
"2026-09-14T17:36:38.954","macos","arm64","quicksort","hoare",100000,1,8,3.974625,0.0000000000,"none",214723404248673
"2026-09-14T17:36:38.959","macos","arm64","quicksort","hoare",100000,1,9,3.913667,0.0000000000,"none",214723404248673
"2026-09-14T17:36:38.963","macos","arm64","quicksort","hoare",100000,1,10,4.122167,0.0000000000,"none",214723404248673
"2026-09-14T17:36:39.061","macos","arm64","quicksort","hoare",1000000,1,1,46.840042,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:39.110","macos","arm64","quicksort","hoare",1000000,1,2,46.803750,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:39.160","macos","arm64","quicksort","hoare",1000000,1,3,48.302541,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:39.213","macos","arm64","quicksort","hoare",1000000,1,4,50.009375,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:39.263","macos","arm64","quicksort","hoare",1000000,1,5,47.543541,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:39.312","macos","arm64","quicksort","hoare",1000000,1,6,47.588458,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:39.362","macos","arm64","quicksort","hoare",1000000,1,7,47.775208,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:39.412","macos","arm64","quicksort","hoare",1000000,1,8,47.436250,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:39.461","macos","arm64","quicksort","hoare",1000000,1,9,46.810625,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:39.510","macos","arm64","quicksort","hoare",1000000,1,10,46.472208,0.0000000000,"none",2146435339453984
"2026-09-14T17:36:40.041","macos","arm64","quicksort","hoare",5000000,1,1,251.120125,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:40.300","macos","arm64","quicksort","hoare",5000000,1,2,248.644958,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:40.558","macos","arm64","quicksort","hoare",5000000,1,3,247.941709,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:40.816","macos","arm64","quicksort","hoare",5000000,1,4,247.376916,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:41.075","macos","arm64","quicksort","hoare",5000000,1,5,248.050542,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:41.332","macos","arm64","quicksort","hoare",5000000,1,6,247.214292,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:41.590","macos","arm64","quicksort","hoare",5000000,1,7,247.136167,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:41.846","macos","arm64","quicksort","hoare",5000000,1,8,245.735500,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:42.102","macos","arm64","quicksort","hoare",5000000,1,9,245.717208,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:42.359","macos","arm64","quicksort","hoare",5000000,1,10,245.854083,0.0000000000,"none",10741988283483624
"2026-09-14T17:36:43.445","macos","arm64","quicksort","hoare",10000000,1,1,520.201375,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:43.986","macos","arm64","quicksort","hoare",10000000,1,2,520.095334,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:44.527","macos","arm64","quicksort","hoare",10000000,1,3,519.609084,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:45.077","macos","arm64","quicksort","hoare",10000000,1,4,527.704541,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:45.617","macos","arm64","quicksort","hoare",10000000,1,5,519.264292,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:46.159","macos","arm64","quicksort","hoare",10000000,1,6,519.940709,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:46.704","macos","arm64","quicksort","hoare",10000000,1,7,523.285125,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:47.267","macos","arm64","quicksort","hoare",10000000,1,8,541.403041,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:47.814","macos","arm64","quicksort","hoare",10000000,1,9,524.547334,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:48.358","macos","arm64","quicksort","hoare",10000000,1,10,523.042042,0.0000000000,"none",21479653812081817
"2026-09-14T17:36:48.360","macos","arm64","matrix","serial",128,1,1,0.964250,4.3498096967,"gflops",62916168
"2026-09-14T17:36:48.361","macos","arm64","matrix","serial",128,1,2,1.100625,3.8108383873,"gflops",62916168
"2026-09-14T17:36:48.362","macos","arm64","matrix","serial",128,1,3,1.031083,4.0678626260,"gflops",62916168
"2026-09-14T17:36:48.363","macos","arm64","matrix","serial",128,1,4,0.990834,4.2331046371,"gflops",62916168
"2026-09-14T17:36:48.364","macos","arm64","matrix","serial",128,1,5,1.048166,4.0015646377,"gflops",62916168
"2026-09-14T17:36:48.365","macos","arm64","matrix","serial",128,1,6,0.997875,4.2032358762,"gflops",62916168
"2026-09-14T17:36:48.366","macos","arm64","matrix","serial",128,1,7,1.012625,4.1420111097,"gflops",62916168
"2026-09-14T17:36:48.367","macos","arm64","matrix","serial",128,1,8,1.015458,4.1304554201,"gflops",62916168
"2026-09-14T17:36:48.368","macos","arm64","matrix","serial",128,1,9,1.024167,4.0953321089,"gflops",62916168
"2026-09-14T17:36:48.369","macos","arm64","matrix","serial",128,1,10,1.016750,4.1252067863,"gflops",62916168
"2026-09-14T17:36:48.389","macos","arm64","matrix","serial",256,1,1,9.666167,3.4713275697,"gflops",503329457
"2026-09-14T17:36:48.399","macos","arm64","matrix","serial",256,1,2,9.739167,3.4453082076,"gflops",503329457
"2026-09-14T17:36:48.409","macos","arm64","matrix","serial",256,1,3,9.678292,3.4669786776,"gflops",503329457
"2026-09-14T17:36:48.419","macos","arm64","matrix","serial",256,1,4,9.933041,3.3780623678,"gflops",503329457
"2026-09-14T17:36:48.429","macos","arm64","matrix","serial",256,1,5,9.845458,3.4081128577,"gflops",503329457
"2026-09-14T17:36:48.438","macos","arm64","matrix","serial",256,1,6,9.711958,3.4549605754,"gflops",503329457
"2026-09-14T17:36:48.448","macos","arm64","matrix","serial",256,1,7,9.803417,3.4227282181,"gflops",503329457
"2026-09-14T17:36:48.458","macos","arm64","matrix","serial",256,1,8,9.810708,3.4201845575,"gflops",503329457
"2026-09-14T17:36:48.468","macos","arm64","matrix","serial",256,1,9,9.791042,3.4270542400,"gflops",503329457
"2026-09-14T17:36:48.478","macos","arm64","matrix","serial",256,1,10,9.868292,3.4002269086,"gflops",503329457
"2026-09-14T17:36:48.745","macos","arm64","matrix","serial",512,1,1,132.946625,2.0191220048,"gflops",4026531838
"2026-09-14T17:36:48.878","macos","arm64","matrix","serial",512,1,2,132.640167,2.0237870780,"gflops",4026531838
"2026-09-14T17:36:49.010","macos","arm64","matrix","serial",512,1,3,132.578125,2.0247341407,"gflops",4026531838
"2026-09-14T17:36:49.144","macos","arm64","matrix","serial",512,1,4,133.146500,2.0160909675,"gflops",4026531838
"2026-09-14T17:36:49.277","macos","arm64","matrix","serial",512,1,5,133.023458,2.0179557804,"gflops",4026531838
"2026-09-14T17:36:49.411","macos","arm64","matrix","serial",512,1,6,133.398875,2.0122767602,"gflops",4026531838
"2026-09-14T17:36:49.544","macos","arm64","matrix","serial",512,1,7,132.362291,2.0280357341,"gflops",4026531838
"2026-09-14T17:36:49.676","macos","arm64","matrix","serial",512,1,8,132.034084,2.0330769743,"gflops",4026531838
"2026-09-14T17:36:49.809","macos","arm64","matrix","serial",512,1,9,132.211250,2.0303526062,"gflops",4026531838
"2026-09-14T17:36:49.941","macos","arm64","matrix","serial",512,1,10,132.148416,2.0313179993,"gflops",4026531838
"2026-09-14T17:36:52.349","macos","arm64","matrix","serial",1024,1,1,1197.008584,1.7940419782,"gflops",32212266994
"2026-09-14T17:36:53.558","macos","arm64","matrix","serial",1024,1,2,1208.090041,1.7775857553,"gflops",32212266994
"2026-09-14T17:36:54.744","macos","arm64","matrix","serial",1024,1,3,1184.934583,1.8123225356,"gflops",32212266994
"2026-09-14T17:36:55.925","macos","arm64","matrix","serial",1024,1,4,1179.475166,1.8207112027,"gflops",32212266994
"2026-09-14T17:36:57.118","macos","arm64","matrix","serial",1024,1,5,1192.313125,1.8011071110,"gflops",32212266994
"2026-09-14T17:36:58.316","macos","arm64","matrix","serial",1024,1,6,1197.075375,1.7939418794,"gflops",32212266994
"2026-09-14T17:36:59.500","macos","arm64","matrix","serial",1024,1,7,1181.998625,1.8168241507,"gflops",32212266994
"2026-09-14T17:37:00.692","macos","arm64","matrix","serial",1024,1,8,1190.985458,1.8031149193,"gflops",32212266994
"2026-09-14T17:37:01.883","macos","arm64","matrix","serial",1024,1,9,1190.313375,1.8041330066,"gflops",32212266994
"2026-09-14T17:37:03.092","macos","arm64","matrix","serial",1024,1,10,1207.883208,1.7778901418,"gflops",32212266994
"2026-09-14T17:37:03.238","macos","arm64","matrix","parallel",512,2,1,74.020750,3.6264892750,"gflops",4026531838
"2026-09-14T17:37:03.313","macos","arm64","matrix","parallel",512,2,2,74.639459,3.5964282110,"gflops",4026531838
"2026-09-14T17:37:03.386","macos","arm64","matrix","parallel",512,2,3,72.387625,3.7083058879,"gflops",4026531838
"2026-09-14T17:37:03.459","macos","arm64","matrix","parallel",512,2,4,73.037334,3.6753183790,"gflops",4026531838
"2026-09-14T17:37:03.531","macos","arm64","matrix","parallel",512,2,5,71.579375,3.7501788190,"gflops",4026531838
"2026-09-14T17:37:03.604","macos","arm64","matrix","parallel",512,2,6,72.544458,3.7002889456,"gflops",4026531838
"2026-09-14T17:37:03.677","macos","arm64","matrix","parallel",512,2,7,72.273667,3.7141529847,"gflops",4026531838
"2026-09-14T17:37:03.749","macos","arm64","matrix","parallel",512,2,8,71.825875,3.7373085396,"gflops",4026531838
"2026-09-14T17:37:03.821","macos","arm64","matrix","parallel",512,2,9,71.980417,3.7292845358,"gflops",4026531838
"2026-09-14T17:37:03.908","macos","arm64","matrix","parallel",512,2,10,86.528708,3.1022704742,"gflops",4026531838
"2026-09-14T17:37:03.995","macos","arm64","matrix","parallel",512,4,1,45.442916,5.9070913495,"gflops",4026531838
"2026-09-14T17:37:04.036","macos","arm64","matrix","parallel",512,4,2,41.269833,6.5043988911,"gflops",4026531838
"2026-09-14T17:37:04.076","macos","arm64","matrix","parallel",512,4,3,38.964125,6.8892976809,"gflops",4026531838
"2026-09-14T17:37:04.114","macos","arm64","matrix","parallel",512,4,4,38.464041,6.9788677690,"gflops",4026531838
"2026-09-14T17:37:04.154","macos","arm64","matrix","parallel",512,4,5,39.075416,6.8696762179,"gflops",4026531838
"2026-09-14T17:37:04.195","macos","arm64","matrix","parallel",512,4,6,40.326708,6.6565179583,"gflops",4026531838
"2026-09-14T17:37:04.235","macos","arm64","matrix","parallel",512,4,7,39.695792,6.7623151592,"gflops",4026531838
"2026-09-14T17:37:04.274","macos","arm64","matrix","parallel",512,4,8,39.204500,6.8470572511,"gflops",4026531838
"2026-09-14T17:37:04.316","macos","arm64","matrix","parallel",512,4,9,41.386000,6.4861415938,"gflops",4026531838
"2026-09-14T17:37:04.355","macos","arm64","matrix","parallel",512,4,10,38.800583,6.9183356343,"gflops",4026531838
"2026-09-14T17:37:04.405","macos","arm64","matrix","parallel",512,8,1,24.919291,10.7721947627,"gflops",4026531838
"2026-09-14T17:37:04.432","macos","arm64","matrix","parallel",512,8,2,25.974500,10.3345764500,"gflops",4026531838
"2026-09-14T17:37:04.458","macos","arm64","matrix","parallel",512,8,3,25.882667,10.3712440453,"gflops",4026531838
"2026-09-14T17:37:04.483","macos","arm64","matrix","parallel",512,8,4,24.628209,10.8995118565,"gflops",4026531838
"2026-09-14T17:37:04.509","macos","arm64","matrix","parallel",512,8,5,25.669333,10.4574379085,"gflops",4026531838
"2026-09-14T17:37:04.535","macos","arm64","matrix","parallel",512,8,6,25.963625,10.3389051413,"gflops",4026531838
"2026-09-14T17:37:04.561","macos","arm64","matrix","parallel",512,8,7,25.578000,10.4947789507,"gflops",4026531838
"2026-09-14T17:37:04.588","macos","arm64","matrix","parallel",512,8,8,26.632042,10.0794169670,"gflops",4026531838
"2026-09-14T17:37:04.615","macos","arm64","matrix","parallel",512,8,9,26.669625,10.0652129904,"gflops",4026531838
"2026-09-14T17:37:04.642","macos","arm64","matrix","parallel",512,8,10,26.746083,10.0364399527,"gflops",4026531838
"2026-09-14T17:37:04.689","macos","arm64","matrix","parallel",512,10,1,22.783417,11.7820542897,"gflops",4026531838
"2026-09-14T17:37:04.714","macos","arm64","matrix","parallel",512,10,2,23.781583,11.2875352326,"gflops",4026531838
"2026-09-14T17:37:04.736","macos","arm64","matrix","parallel",512,10,3,22.421792,11.9720785921,"gflops",4026531838
"2026-09-14T17:37:04.759","macos","arm64","matrix","parallel",512,10,4,22.727791,11.8108907284,"gflops",4026531838
"2026-09-14T17:37:04.785","macos","arm64","matrix","parallel",512,10,5,25.348083,10.5899706893,"gflops",4026531838
"2026-09-14T17:37:04.809","macos","arm64","matrix","parallel",512,10,6,23.893500,11.2346644903,"gflops",4026531838
"2026-09-14T17:37:04.834","macos","arm64","matrix","parallel",512,10,7,23.731166,11.3115156668,"gflops",4026531838
"2026-09-14T17:37:04.857","macos","arm64","matrix","parallel",512,10,8,23.208583,11.5662147922,"gflops",4026531838
