benchmark,variant,size,threads,metric_name,m5_time_mean_ms,m5_time_std_ms,m5_metric_mean,m5_compiler_config,i5_time_mean_ms,i5_time_std_ms,i5_metric_mean,i5_compiler_config,speedup_m5
memory,random,67108864,1,million_accesses_per_s,36.51975,0.19280575888702348,459.41137562878004,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,154.6886,19.67187345679104,109.73853607304,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,4.235751887677216
memory,random,268435456,1,million_accesses_per_s,196.5152002,0.8181919588872079,341.49924315434,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,535.3556000000001,8.56877320857541,125.37929853336,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.724245246449898
memory,sequential,32768,1,million_accesses_per_s,1.1287361666666667,0.18331131335454087,3781.712042665033,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.171,0.06524952107103922,3590.4571354954596,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0374435005995644
memory,sequential,65536,1,million_accesses_per_s,0.9906414,0.0073592541945498675,4234.11433024112,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1187999999999998,0.08082202670064645,3763.7713479231197,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1293693156777012
memory,sequential,262144,1,million_accesses_per_s,0.983625,0.020160436366805142,4265.539911783841,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.3397999999999999,0.2600897921872367,3217.45801999068,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.3621044605413648
memory,sequential,1048576,1,million_accesses_per_s,0.9696334,0.004824203177727879,4325.745290701239,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.099,0.033830459648074504,3819.30408575236,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1334180526372133
memory,sequential,4194304,1,million_accesses_per_s,0.97525,0.012080533018041894,4301.2743256831,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1368,0.09810045871452386,3710.0626887614003,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1656498333760574
memory,sequential,16777216,1,million_accesses_per_s,1.00235,0.0095120855231648,4184.7702431546,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.438,0.22448496608904567,2966.1749782774,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.434628622736569
memory,sequential,67108864,1,million_accesses_per_s,4.0013084,0.022198164593046833,4193.035062683999,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,6.3664000000000005,0.43924116382688916,2644.95250216018,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.5910795578766186
memory,sequential,268435456,1,million_accesses_per_s,15.980366799999999,0.05072089411869656,4199.49083025414,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,23.0398,0.6714962397511982,2914.67914740592,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.4417566435333637
quicksort,hoare,100000,1,none,3.9937166,0.051723718783552315,0.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,6.715000000000001,0.46680724073218915,0.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.68139121338755
quicksort,hoare,1000000,1,none,46.1775916,0.1758267523694839,0.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,75.4456,2.4532739961121344,0.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.633814094366931
quicksort,hoare,5000000,1,none,245.960325,0.10885993680184364,0.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,409.6576,11.005137404866865,0.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.665543416402625
quicksort,hoare,10000000,1,none,520.8613832,2.618629268044887,0.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,860.8564,12.106285900308139,0.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.652755277634873
sieve,eratosthenes,1000000,1,none,1.1355748,0.06661417023952194,0.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9753999999999999,0.03148491702387034,0.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.858948261268214
sieve,eratosthenes,5000000,1,none,5.466925,0.611658044041358,0.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,9.9622,0.8098531965733047,0.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.8222675452836832
sieve,eratosthenes,10000000,1,none,9.217983,0.31677911293044597,0.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,22.41,0.3684650594018383,0.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.4311175232152196
sieve,eratosthenes,50000000,1,none,120.0099252,1.7965071453811976,0.0,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,278.6174,12.086358996819532,0.0,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.3216196455057867
