benchmark,variant,size,threads,metric_name,m5_time_mean_ms,m5_time_std_ms,m5_time_min_ms,m5_time_max_ms,m5_sample_count,m5_metric_mean,m5_metric_std,m5_parallel_speedup,m5_parallel_efficiency,m5_compiler_config,i5_time_mean_ms,i5_time_std_ms,i5_time_min_ms,i5_time_max_ms,i5_sample_count,i5_metric_mean,i5_metric_std,i5_parallel_speedup,i5_parallel_efficiency,i5_compiler_config,speedup_m5
memory,random,4194304,1,million_accesses_per_s,2.3552126,0.03428581411280438,2.313209,2.403375,10,1781.1991386901402,25.883433257146923,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,5.5908,0.25796631993774355,5.236,6.015,10,751.64143573735,34.363667397782706,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.373798441805211
memory,random,16777216,1,million_accesses_per_s,3.1332919,0.3151674704391126,2.68525,3.652917,10,1350.8300198675202,135.29357837543282,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,12.6417,0.47364216450818647,11.878,13.177,10,332.20817182396,12.606203703984129,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,4.034638458038334
memory,random,67108864,1,million_accesses_per_s,38.089766600000004,0.3999904284805373,37.555583,38.758625,10,440.50871389566,4.606142321707327,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,98.2833,1.051036742142408,96.623,99.743,10,170.72021715578,1.829306319368612,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.5803072261408917
memory,random,268435456,1,million_accesses_per_s,199.4221874,0.17409904706113977,199.215125,199.790333,10,336.51676817453,0.2936142743243694,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,509.7494,2.7929925090403604,504.448,514.726,10,131.6542563943,0.7217483068658864,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.556131825881276
memory,sequential,32768,1,million_accesses_per_s,1.0777706,0.03697753266872557,1.052916,1.165208,10,3895.5748163915,127.20392923483172,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0592000000000001,0.018023441526091626,1.05,1.107,10,3960.87683362639,65.15070289034131,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9827694316397201
memory,sequential,65536,1,million_accesses_per_s,1.0135999,0.044352186335812886,0.975458,1.131,10,4144.6291990400105,167.8022174996936,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9879999999999999,0.03929942040850536,0.955,1.064,10,4251.08012571776,163.00439029374664,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9747435847221373
memory,sequential,262144,1,million_accesses_per_s,0.9860501000000002,0.01172382143283023,0.971625,1.0055,10,4254.181141530729,50.39707659283911,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0279,0.03678601787515355,1.001,1.116,10,4084.94892016765,139.47807408872524,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0424419611133349
memory,sequential,1048576,1,million_accesses_per_s,0.9888541,0.03844924236632555,0.967875,1.093958,10,4246.908867144741,152.33208630356552,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.056,0.11496472889059886,0.961,1.345,10,4008.01545274221,370.0688602453021,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0679027371176395
memory,sequential,4194304,1,million_accesses_per_s,0.9905082999999999,0.016210332329515416,0.972666,1.027375,10,4235.5008866526,68.19786243845375,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0655,0.10956707737474995,0.964,1.295,10,3970.6129506714096,369.85759387548967,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.0757103196409359
memory,sequential,16777216,1,million_accesses_per_s,1.0209747,0.05328336089468583,0.988416,1.169875,10,4117.12849901378,191.51585693825947,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2205,0.16186362572651497,1.108,1.605,10,3482.9733984513305,390.6982862417262,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1954262921500405
memory,sequential,67108864,1,million_accesses_per_s,4.0563584,0.07880481799455903,3.988334,4.197208,10,4137.41058430869,79.02137291260549,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,4.9234,0.27921007622696337,4.511,5.388,10,3417.56826635786,194.6510502096074,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.2137487653950894
memory,sequential,268435456,1,million_accesses_per_s,16.1385124,0.18157000682148958,16.028917,16.63125,10,4158.768054152721,45.68832201019678,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,19.1713,0.26394698541773737,18.684,19.585,10,3501.0848556523597,48.35003587893264,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.1879223762903945
quicksort,hoare,100000,1,none,4.0783543,0.13973413810761406,3.913667,4.336625,10,0.0,0.0,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,6.4046,0.16275557679470695,6.189,6.704,10,0.0,0.0,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.5703883304106268
quicksort,hoare,1000000,1,none,47.5581998,1.0246186191547682,46.472208,50.009375,10,0.0,0.0,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,72.0452,0.6307589432140032,70.955,73.201,10,0.0,0.0,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.5148849263213702
quicksort,hoare,5000000,1,none,247.47914999999998,1.6377523034531904,245.717208,251.120125,10,0.0,0.0,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,391.6654,8.624672183142179,381.969,404.335,10,0.0,0.0,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.5826197883740913
quicksort,hoare,10000000,1,none,523.9092877,6.717277578691965,519.264292,541.403041,10,0.0,0.0,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,827.4983,17.6957298053639,813.452,874.623,10,0.0,0.0,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.5794686588450795
sieve,eratosthenes,1000000,1,none,1.1094167000000001,0.06242114279642041,0.994459,1.185917,10,0.0,0.0,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,0.9402000000000001,0.06230355795083726,0.895,1.044,10,0.0,0.0,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,0.8474723699399874
sieve,eratosthenes,5000000,1,none,4.9142043,0.39159208416243246,4.455625,5.632583,10,0.0,0.0,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,9.6569,0.3298064920862265,9.301,10.417,10,0.0,0.0,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,1.9650994159929414
sieve,eratosthenes,10000000,1,none,9.3833916,0.33738671925986224,8.873042,9.819291,10,0.0,0.0,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,21.1922,0.5333301666572653,20.001,21.902,10,0.0,0.0,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.2584797590670735
sieve,eratosthenes,50000000,1,none,122.81325389999999,2.1015786367890947,120.775958,127.527166,10,0.0,0.0,,,AppleClang 21.0.0.21000101; C++17; Release; -O2 -fno-vectorize -fno-slp-vectorize -fno-unroll-loops -fno-fast-math,250.4551,11.871783648167154,233.584,264.562,10,0.0,0.0,,,GNU 16.1.0; C++17; Release; -O2 -fno-tree-vectorize -fno-tree-slp-vectorize -fno-unroll-loops -fno-fast-math,2.039316539922732
